ID,Smiles,Standard_Type,Standard_Relation,Standard_Units,Standard_Value,pIC50
CHEMBL427548,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(F)cc4)c(F)c3)c(F)c2)CC1,IC50,=,nM,57900,3.237321436
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,EC50,=,nM,57200,3.242603971
CHEMBL4851224,CNS(=O)(=O)c1cc(C(=O)OC)c(NCc2ccco2)cc1Cl,IC50,=,nM,55950,3.252199909
CHEMBL1457311,Nc1ccc2[nH]c(-c3ccc(Cl)cc3)nc2c1,Potency,=,nM,55560,3.255237763
CHEMBL503168,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,IC50,=,nM,55400,3.256490235
CHEMBL4159496,O=C(/C=C/c1ccc(O)c(O)c1)OCCCCCCO,EC50,=,nM,54800,3.261219442
CHEMBL4876813,COc1ccc(CNC(=O)CCNC(=O)/C=C/c2ccc(OCc3ccccc3)c(OC)c2)cc1,IC50,=,nM,54210,3.265920593
CHEMBL4871044,C/C(=C\Cc1c(O)cc(C)c(C(=O)O)c1O)CC/C=C(\C)CC[C@H](O)C(C)(C)O,IC50,=,nM,53300,3.273272791
CHEMBL4850080,CNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,53010,3.275642196
CHEMBL5094225,O=C1CN(Cc2ccc(OCCCN3CCCCC3)cc2)CCN1Cc1ccccc1,Kd,=,nM,51620,3.287182
CHEMBL4846858,C/C(=C\Cc1c(O)cc(C)c(C(=O)O)c1O)CCCC1=C/C(=C\C(C)(C)O)OC1=O,IC50,=,nM,51400,3.289036881
CHEMBL3099500,CN(CCCCNc1c2c(nc3c(NC(=O)CNC(=O)CC[C@H](NC(=O)CNC(=O)OCc4ccccc4)C(=O)N[C@@H](Cc4ccccc4)C(=O)OCc4ccccc4)cccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,IC50,=,nM,51000,3.292429824
CHEMBL182768,CCOC(=O)N1CCC(c2ccccc2OC)(S(=O)(=O)c2ccc(OC)cc2)CC1,EC50,=,nM,50600,3.295849483
CHEMBL4877566,COC(=O)c1c(C)c(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(OC)c(O)c1O,IC50,=,nM,50300,3.298432015
CHEMBL5209357,Cc1nc(C)c(C(=O)OCCCOC(=O)c2ccccn2)nc1C,IC50,=,nM,49140,3.308564848
CHEMBL183815,CCOC(=O)N1CCC(c2ccccc2C)(S(=O)(=O)c2ccccc2)CC1,EC50,=,nM,48600,3.313363731
CHEMBL4063009,CN1CCC(c2c[nH]c3cc(Nc4ccc(F)c(F)c4)ccc23)CC1,IC50,=,nM,48000,3.318758763
CHEMBL4848103,CCCCCCNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,47810,3.320481256
CHEMBL4568384,CCOc1cc(CNc2ccc(OC)cc2)ccc1Oc1ccnc2cc(Cl)ccc12,IC50,=,nM,46420,3.333294864
CHEMBL372751,CC1(C)CCC(c2ccc(-c3ccc(C4(C(=O)O)CC4)cc3F)cc2)CC1,IC50,=,nM,46000,3.337242168
CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,IC50,=,nM,46000,3.337242168
CHEMBL4867164,COc1cc([C@H]2C[C@@H]2C(=O)N(C)C)ccc1OCc1ccccc1,IC50,=,nM,45780,3.339324212
CHEMBL4513568,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3o2)cc1,IC50,=,nM,45600,3.341035157
CHEMBL4873939,CCCN(CCC)C(=O)/C=C/c1ccc(OC)c(OC)c1,IC50,=,nM,45310,3.343805938
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,=,nM,45000,3.346787486
CHEMBL1324177,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(NC(C)=O)scc12,Potency,=,nM,44668.4,3.349999603
CHEMBL4439214,CCOc1cc(CNc2ccccc2)ccc1Oc1ccnc2cc(Cl)ccc12,IC50,=,nM,44520,3.351444844
CHEMBL573,O=C(O)c1cccnc1,IC50,=,nM,43700,3.359518563
CHEMBL4217978,COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@@H](c2ccc(O)c(OC)c2)[C@H](CO)O4)[C@@H](O)C3=O)ccc1O,IC50,=,nM,43600,3.360513511
CHEMBL4101130,Cn1cc(C2CCNCC2)c2ccc(Nc3ccc(F)c(F)c3)cc21,IC50,=,nM,42000,3.37675071
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,41700,3.379863945
CHEMBL4879194,O=C(O)c1cc(S(=O)(=O)N2CCOCC2)c(Cl)cc1NCc1ccco1,IC50,=,nM,41160,3.385524634
CHEMBL4871443,CC(NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl)c1ccccc1,IC50,=,nM,41150,3.38563016
CHEMBL196945,O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,IC50,=,nM,41000,3.387216143
CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,IC50,=,nM,41000,3.387216143
CHEMBL4847749,COC(=O)c1c(C)cc(O)c(C/C=C(\C)CCCC2=C/C(=C\C(C)(C)O)OC2=O)c1O,IC50,=,nM,40700,3.390405591
CHEMBL3781026,Fc1ccc(-c2cc(NCCNc3cc(-c4ccc(F)cc4)[nH]n3)n[nH]2)cc1,IC50,=,nM,40500,3.392544977
CHEMBL5196550,COCCOCCn1c2ccccc2c2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc21.[I-],Kd,=,nM,40200,3.395773947
CHEMBL1451257,CCOC(=O)c1nn(-c2ccc(OC)cc2)c(=O)c2c(NC(=O)Cc3ccccc3)scc12,Potency,=,nM,39810.7,3.400000186
CHEMBL461646,CCOC(=O)c1nn(-c2cccc(C(F)(F)F)c2)c(=O)c2c(N)scc12,Potency,=,nM,39810.7,3.400000186
CHEMBL4164790,COc1ccc(CCOC(=O)/C=C/c2ccc(O)c(O)c2)cc1OC,EC50,=,nM,39500,3.403402904
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,39300,3.40560745
CHEMBL4860315,CCN(CC)C(=O)/C=C/c1ccc(OCc2ccccc2)c(OC)c1,IC50,=,nM,39270,3.405939099
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Kd,=,nM,38500,3.41453927
CHEMBL5195545,CCCCN(CCCC)c1ccc2cc(/C=C/c3c[n+](C)cc4ccccc34)ccc2c1.[I-],Kd,=,nM,36400,3.438898616
CHEMBL2381401,COc1ccc2cc(C(=O)CN3CCN(Cc4ccccc4)CC3)c(=O)oc2c1,IC50,=,nM,36000,3.443697499
CHEMBL2381386,COc1ccc2cc(C(=O)CN3CCC(Cc4ccccc4)CC3)c(=O)oc2c1,IC50,=,nM,36000,3.443697499
CHEMBL4874507,COc1cc(/C=C/C(=O)N2CC(C(=O)N3CCOCC3)C2)ccc1OCc1ccccc1,IC50,=,nM,35670,3.447696891
CHEMBL461622,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,Potency,=,nM,35481.3,3.450000476
CHEMBL3815004,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,IC50,=,nM,35000,3.455931956
CHEMBL197202,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1,IC50,=,nM,35000,3.455931956
CHEMBL4848839,CCN(CC)C(=O)CCc1ccc(OCc2ccccc2)c(OC)c1,IC50,=,nM,34930,3.456801414
CHEMBL4750838,COc1ccc2nc3cc(Cl)ccc3c(Nc3ccc(C(=O)NO)cc3)c2n1,IC50,=,nM,34900,3.457174573
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,IC50,=,nM,33600,3.473660723
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,33300,3.477555766
CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,IC50,=,nM,33000,3.48148606
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,IC50,=,nM,32800,3.484126156
CHEMBL4545404,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1c(OC)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,IC50,=,nM,32800,3.484126156
CHEMBL5205489,Nc1nn(-c2c3c(nc4ccc([N+](=O)[O-])cc24)CCCC3)c2ncccc12,IC50,=,nM,31760,3.498119506
CHEMBL5177420,C[n+]1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc21.[I-],Kd,=,nM,31690,3.499077761
CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,IC50,=,nM,31600,3.500312917
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,IC50,=,nM,30300,3.518557371
CHEMBL4098927,Fc1ccc(Nc2ccc3c(C4CCNCC4)c[nH]c3n2)cc1F,IC50,=,nM,30000,3.522878745
CHEMBL2063874,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(N)c1,IC50,=,nM,30000,3.522878745
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,IC50,=,nM,30000,3.522878745
CHEMBL4646459,COc1c(O)c(O)cc(C)c1C/C=C(\C)CC/C=C(\C)CCC=C(C)C,IC50,=,nM,29300,3.53313238
